,symbol_string,parameters,field_shape,residual,status,padding,comoving,tile_shape
0,01,"(17.568331041117258, 23.002703066119075, 0)","(16, 16)",6.2356888796991536e-09,1,False,False,"(1, 2)"
1,02,"(17.84200257663899, 25.900863976124885, 0)","(16, 32)",5.050045204036529e-06,0,False,False,"(1, 2)"
2,02,"(17.208358708943056, 25.745130879778724, 0)","(16, 32)",1.7133867807643232e-08,-1,False,False,"(1, 2)"
3,12,"(17.800433878220556, 34.25538297901851, 0)","(16, 32)",7.961944330526108e-08,-1,False,False,"(1, 2)"
4,001,"(16.698742476610402, 29.962726304440494, 0)","(16, 32)",1.079255523452156e-12,-1,False,False,"(1, 3)"
5,002,"(17.013101806329974, 32.83536327982337, 0)","(16, 32)",9.460450696040634e-12,-1,False,False,"(1, 3)"
6,011,"(522.7457826349172, 92.72286680771589, 0)","(16, 32)",780.1992934025205,0,False,False,"(1, 3)"
7,0_1,"(24.536752035556084, 10.786018652512436, 0)","(16, 16)",2.0775036635235842e-07,-1,False,False,"(2, 1)"
8,02,"(17.38711953682062, 24.490794950472637, 0)","(16, 32)",0.06016305900746622,0,False,False,"(1, 2)"
9,01,"(23.930760710290023, 25.05205555985123, 0)","(16, 32)",8.747269283758866e-10,-1,True,False,"(1, 2)"
10,02,"(22.571008016685344, 26.79522205400532, 0)","(16, 32)",2.719605118206916e-11,-1,True,False,"(1, 2)"
11,12,"(19.764098891353846, 33.291084849709215, 0)","(16, 32)",1.0277096008124471e-08,-1,True,False,"(1, 2)"
12,001,"(18.139902899474816, 35.143360308413136, 0)","(16, 32)",0.04868758677256764,0,True,False,"(1, 3)"
13,002,"(20.629551068053274, 37.19649846394109, 0)","(16, 32)",0.103319376049487,0,True,False,"(1, 3)"
14,011,"(22.933926187051295, 36.43527589912741, 0)","(16, 32)",0.047478163254810274,0,True,False,"(1, 3)"
15,012,"(20.476221991146776, 44.07001840374544, 0)","(16, 32)",0.056909574996042864,0,True,False,"(1, 3)"
16,021,"(20.158660786774156, 42.64208232036002, 0)","(16, 32)",0.04393775077984796,0,True,False,"(1, 3)"
17,022,"(21.904678392229687, 45.26844847470601, 0)","(16, 64)",3.876778291624672e-09,-1,True,False,"(1, 3)"
18,112,"(20.039490256970428, 45.20348627600179, 0)","(16, 32)",0.035177040624336416,0,True,False,"(1, 3)"
19,122,"(29.80058527492087, 46.84762423828498, 0)","(16, 64)",5.4610017795696894e-08,-1,True,False,"(1, 3)"
20,0001,"(18.35656106333316, 46.49514405029245, 0)","(16, 64)",3.3197613064720715e-11,-1,True,False,"(1, 4)"
21,0002,"(32.12541966842232, 56.576077457394724, 0)","(16, 64)",6.389188505547002e-07,-1,True,False,"(1, 4)"
22,0011,"(36.78462852267678, 49.146822825598164, 0)","(16, 64)",0.614500579467124,0,True,False,"(1, 4)"
23,0012,"(22.57305551310159, 54.87316430985744, 0)","(16, 64)",0.40595115331827447,0,True,False,"(1, 4)"
24,0021,"(25.955274642351107, 54.9689286960789, 0)","(16, 64)",0.2921103643931737,0,True,False,"(1, 4)"
25,0022,"(28.65279734705625, 60.646032371408495, 0)","(16, 64)",1.2644614353131708e-14,-1,True,False,"(1, 4)"
26,0102,"(35.380120001885146, 53.96495414817948, 0)","(16, 64)",0.2084677115444614,0,True,False,"(1, 4)"
27,0111,"(54.57453849499476, 49.340225892585494, 0)","(16, 64)",1.2478258293063368e-07,-1,True,False,"(1, 4)"
28,0112,"(33.23317059644803, 54.51226636316374, 0)","(16, 64)",0.5734578635000191,0,True,False,"(1, 4)"
29,0121,"(20.589001452615637, 57.29480480879662, 0)","(16, 64)",1.6154022076280623e-06,0,True,False,"(1, 4)"
30,0122,"(25.140659699476, 60.584292253334155, 0)","(16, 64)",0.10812488537755084,0,True,False,"(1, 4)"
31,0211,"(26.79366832555981, 54.35172844600457, 0)","(16, 64)",0.5816684153334616,0,True,False,"(1, 4)"
32,0212,"(20.388248189939752, 62.45049750030496, 0)","(16, 64)",0.3457888682336865,0,True,False,"(1, 4)"
33,0221,"(18.917558839979705, 59.459344712134275, 0)","(16, 64)",0.33044326722956013,0,True,False,"(1, 4)"
34,0222,"(22.36582940842138, 63.27814037272134, 0)","(16, 64)",9.838198288047313e-06,0,True,False,"(1, 4)"
35,1112,"(49.0352400103947, 56.59274769544404, 0)","(16, 64)",0.22792128174019274,0,True,False,"(1, 4)"
36,1122,"(31.351102242276834, 61.834748276917054, 0)","(16, 64)",0.1946790413926581,0,True,False,"(1, 4)"
37,1222,"(20.747254755007734, 66.88600691767721, 0)","(16, 64)",0.2222797046901908,0,True,False,"(1, 4)"
38,0_1,"(18.996541962332344, 11.413516872979914, 0)","(16, 16)",4.8017989581722105e-09,-1,True,False,"(2, 1)"
39,0_2,"(23.573595696492045, 20.263520572344625, 0)","(16, 16)",0.29118311325768537,0,True,False,"(2, 1)"
40,1_2,"(33.66357661020777, 17.88588785763595, 0)","(16, 16)",0.09136078338565616,0,True,False,"(2, 1)"
41,1_2,"(33.66357661020777, 17.88588785763595, 0)","(16, 16)",0.09136078338565616,0,False,False,"(2, 1)"
