,symbol_string,parameters,field_shape,cost,status,tileset,comoving,tile_shape
0,01,"(38.24165815094144, 23.58618303097536, 0)","(32, 32)",0.14749610588610243,0,padded,False,"(1, 2)"
1,01,"(27.523251692438667, 22.380890192098928, 0)","(32, 32)",6.637994492647235e-09,-1,padded,False,"(1, 2)"
2,02,"(17.769529415799905, 25.883592327365864, 0)","(32, 32)",4.0617862128378235e-08,-1,padded,False,"(1, 2)"
3,12,"(26.2313713249728, 32.48345692193404, 0)","(32, 32)",6.483190625328093e-14,-1,padded,False,"(1, 2)"
4,001,"(17.238204015756512, 24.00831441193693, 0)","(32, 32)",3.80080734905777e-07,-1,padded,False,"(1, 3)"
5,002,"(17.658300741972337, 31.319205579871895, 0)","(32, 32)",2.169312906226636e-13,-1,padded,False,"(1, 3)"
6,011,"(31.380814764382528, 34.67601212788531, 0)","(32, 64)",0.3504407353031647,0,padded,False,"(1, 3)"
7,012,"(20.417318781584296, 39.17395693314333, 0)","(32, 64)",8.609349261988509e-08,-1,padded,False,"(1, 3)"
8,021,"(21.57528996977615, 39.53440986623647, 0)","(32, 64)",6.164379344931459e-08,-1,padded,False,"(1, 3)"
9,022,"(16.95045408324625, 43.89284179529719, 0)","(32, 64)",2.376369232576105e-13,-1,padded,False,"(1, 3)"
10,112,"(72.47001118867784, 44.183169362203365, 0)","(32, 64)",0.043953278702398804,0,padded,False,"(1, 3)"
11,122,"(23.403666668607272, 50.53825192221162, 0)","(32, 64)",1.7740349635651546e-11,-1,padded,False,"(1, 3)"
12,0001,"(23.675955347572486, 33.86947620529734, 0)","(32, 64)",7.635638979821698e-07,-1,padded,False,"(1, 4)"
13,0002,"(16.438500136691694, 39.701718554110045, 0)","(32, 64)",1.8954415690945195e-07,-1,padded,False,"(1, 4)"
14,0011,"(51.63779441002482, 41.98879653495521, 0)","(32, 64)",0.006006350149135412,0,padded,False,"(1, 4)"
15,0012,"(25.693467612323275, 46.08144535153779, 0)","(32, 64)",2.221596996032967e-10,-1,padded,False,"(1, 4)"
16,0021,"(26.12932915850907, 45.84959232688449, 0)","(32, 64)",0.3065329800781544,0,padded,False,"(1, 4)"
