,symbol_string,parameters,field_shape,residual,status,padding,comoving,tile_shape
0,01,"(44.55718272313492, 25.02856581690786, 0)","(16, 30)",4.233571935035572e-08,-1,False,False,"(1, 2)"
1,02,"(21.469668254517163, 26.630222790785005, 0)","(16, 30)",5.561040423565025e-06,0,False,False,"(1, 2)"
2,12,"(22.724115210281287, 30.6208654686507, 0)","(16, 30)",8.846626435565255e-12,-1,False,False,"(1, 2)"
3,001,"(21.453098291439694, 31.67899655635798, 0)","(16, 36)",5.050714141135209e-10,-1,False,False,"(1, 3)"
4,002,"(18.11899185156871, 35.32908914632325, 0)","(16, 36)",5.124181695119683e-07,-1,False,False,"(1, 3)"
5,011,"(22.306701617484958, 36.9173314435185, 0)","(16, 36)",3.9768045096960823e-11,-1,False,False,"(1, 3)"
6,012,"(27.4170044221463, 45.43889925933597, 0)","(16, 36)",2.222415476232701e-07,-1,False,False,"(1, 3)"
7,021,"(24.621701882729205, 40.847324652641916, 0)","(16, 36)",0.03672549871765416,0,False,False,"(1, 3)"
8,022,"(19.24755327052447, 44.54230722354442, 0)","(16, 36)",1.7586579679101278e-13,-1,False,False,"(1, 3)"
9,112,"(22.780749019255005, 42.53448746880066, 0)","(16, 36)",2.555128587540447e-08,-1,False,False,"(1, 3)"
10,122,"(23.264003636870125, 50.4390995922165, 0)","(16, 36)",7.466728362119074e-14,-1,False,False,"(1, 3)"
11,0001,"(28.929850877328118, 45.92256092294382, 0)","(16, 42)",6.623618415392799e-12,-1,False,False,"(1, 4)"
12,0002,"(22.446592104041063, 45.3842044172212, 0)","(16, 42)",1.2379225246549858e-12,-1,False,False,"(1, 4)"
13,0011,"(18.614577692259964, 44.576251712540916, 0)","(16, 42)",1.9457796459743658e-10,-1,False,False,"(1, 4)"
14,0012,"(33.54784845781227, 56.11902668318304, 0)","(16, 42)",7.437342737530738e-11,-1,False,False,"(1, 4)"
15,0021,"(22.964742015755924, 55.1032177358456, 0)","(16, 42)",2.0816618035439308e-11,-1,False,False,"(1, 4)"
16,0022,"(22.301523932945408, 54.09589798575736, 0)","(16, 42)",7.685659607239227e-08,-1,False,False,"(1, 4)"
17,0102,"(38.37706271842927, 55.39925659611868, 0)","(16, 42)",0.01418495567027957,0,False,False,"(1, 4)"
18,0111,"(15.763704989579038, 47.07517400782905, 0)","(16, 42)",1.0911291423368892e-08,-1,False,False,"(1, 4)"
19,0112,"(20.619873593018603, 55.219549842472176, 0)","(16, 42)",1.1822929164085571e-11,-1,False,False,"(1, 4)"
20,0121,"(40.24534614402465, 57.39571692410225, 0)","(16, 42)",0.032385054881776926,0,False,False,"(1, 4)"
21,0122,"(20.489601414589597, 61.20126703992729, 0)","(16, 42)",0.05331789434544401,0,False,False,"(1, 4)"
22,0211,"(28.315430204219965, 52.35994461439403, 0)","(16, 42)",0.00567004232517885,0,False,False,"(1, 4)"
23,0212,"(27.876602016375898, 60.672090185222956, 0)","(16, 42)",3.2588301035175485e-07,-1,False,False,"(1, 4)"
24,0221,"(29.747931054084923, 58.56357858588184, 0)","(16, 42)",1.7584593598199494e-07,-1,False,False,"(1, 4)"
25,0222,"(18.90525896408682, 62.338650453334814, 0)","(16, 48)",1.3598675901370178e-12,-1,False,False,"(1, 4)"
26,1112,"(25.058882247301, 58.35775533138471, 0)","(16, 42)",0.009417108792106757,0,False,False,"(1, 4)"
27,1122,"(22.526864605867186, 64.21917475681526, 0)","(16, 42)",0.010073276502935581,0,False,False,"(1, 4)"
28,1222,"(23.54078597479543, 68.46509813958997, 0)","(16, 48)",0.01933541251720082,0,False,False,"(1, 4)"
29,0_1,"(20.66040207315634, 11.936103449111206, 0)","(16, 18)",1.55812270463263e-15,-1,False,False,"(2, 1)"
30,0_2,"(16.208178643011365, 17.511558058622978, 0)","(16, 18)",5.085175567577809e-09,-1,False,False,"(2, 1)"
31,1_2,"(38.96731196801811, 18.351748388167817, 0)","(20, 18)",0.0711458709336204,0,False,False,"(2, 1)"
32,00_01,"(23.938442203759376, 25.052332825793002, 0)","(16, 24)",1.2825005876202996e-07,-1,False,False,"(2, 2)"
33,00_02,"(20.01540626727456, 26.37218980324689, 0)","(16, 30)",9.070163276133388e-09,-1,False,False,"(2, 2)"
34,00_12,"(51.12367122138335, 31.412549934913287, 0)","(16, 30)",3.434325831136892e-08,-1,False,False,"(2, 2)"
35,01_02,"(65.48545064852807, 29.194035894605275, 0)","(20, 30)",9.666859574893689e-13,-1,False,False,"(2, 2)"
36,01_11,"(137.57277253352507, 24.940450230377174, 0)","(20, 30)",0.00016837686546382536,2,False,False,"(2, 2)"
37,01_12,"(62.41509971407921, 30.341755946181156, 0)","(20, 30)",0.14993366450338236,0,False,False,"(2, 2)"
38,01_20,"(55.47951333535637, 28.39355185732704, 0)","(20, 30)",0.35046833924583193,0,False,False,"(2, 2)"
39,01_21,"(87.81174013034244, 29.2899693220354, 0)","(20, 30)",0.06334600469953944,0,False,False,"(2, 2)"
40,01_22,"(104.38466693772023, 35.488413004824665, 0)","(20, 30)",1.4448550091444248e-07,-1,False,False,"(2, 2)"
41,02_11,"(51.59453188751739, 28.854629367459673, 0)","(20, 30)",0.18536642782948407,0,False,False,"(2, 2)"
42,02_12,"(57.883233348526005, 30.947955535664207, 0)","(20, 30)",0.09254276670142866,0,False,False,"(2, 2)"
43,02_21,"(48.17324217671366, 32.55721369744398, 0)","(20, 30)",0.04274200313012093,0,False,False,"(2, 2)"
44,02_22,"(49.267850032102764, 33.740232835888676, 0)","(20, 30)",0.032223083880753345,0,False,False,"(2, 2)"
45,11_12,"(55.01234185176183, 31.335324189272065, 0)","(20, 30)",0.11340190389810519,0,False,False,"(2, 2)"
46,12_22,"(54.17293409723772, 34.285248882462405, 0)","(20, 30)",0.06502343345093324,0,False,False,"(2, 2)"
47,000_001,"(21.452986178842252, 31.678847504809934, 0)","(16, 36)",4.828961467557452e-10,-1,False,False,"(2, 3)"
48,000_002,"(16.67209328967834, 32.4431334727594, 0)","(16, 36)",1.4001813261322057e-07,-1,False,False,"(2, 3)"
49,000_011,"(17.994482553501363, 34.28705163033423, 0)","(16, 36)",1.25642989277411e-07,-1,False,False,"(2, 3)"
50,000_012,"(30.635616152323507, 41.581470880632516, 0)","(16, 36)",0.10513127063704736,0,False,False,"(2, 3)"
51,000_021,"(34.05443394907552, 41.37260142564443, 0)","(16, 36)",0.03557851727472684,0,False,False,"(2, 3)"
52,000_022,"(18.787730281313006, 44.42118631095257, 0)","(16, 36)",9.823356589708711e-09,-1,False,False,"(2, 3)"
53,000_112,"(68.60068126340184, 43.39444930069042, 0)","(16, 36)",1.972981192411571e-07,-1,False,False,"(2, 3)"
54,000_122,"(22.40694104692334, 48.59292759482505, 0)","(16, 36)",2.4763156199463045e-12,-1,False,False,"(2, 3)"
55,001_002,"(46.70357325830611, 38.39480894686719, 0)","(20, 36)",0.10644320638101477,0,False,False,"(2, 3)"
56,001_010,"(49.292711462139714, 34.18807296116832, 0)","(20, 36)",3.8143053967176335e-07,-1,False,False,"(2, 3)"
