method,time,t,x,cost,cost_reduction,cost_reduction_per_second,cost_reduction_per_step,preconditioning,constrained
adj,0.15199637413024902,122.04089862485722,87.03342741676937,5.4142923765268955,696.373301966612,4581.512591674552,6.96373301966612,False,False
lstsq,0.9723889827728271,132.27211826344103,76.62924169081643,563.0030249121293,138.78456943100957,142.72536185596923,138.78456943100957,False,False
solve,None,None,None,None,None,None,None,False,False
lsqr,0.9744501113891602,147.99814640793414,78.85369668870317,5.622713970841788,696.164880372297,714.4181854316336,139.2329760744594,False,False
lsmr,0.9803304672241211,144.910394175155,76.53038078530312,3.640304718680249,698.1472896244586,712.1550466561697,139.6294579248917,False,False
trust-constr,0.12668323516845703,122.01632409655168,80.62596620951204,23.53571251825214,678.2518818248867,5353.919805749997,678.2518818248867,False,False
trust-ncg,0.08572196960449219,123.25097265628389,80.3516427496631,3.6710751720039725,698.1165191711349,8143.962654989564,698.1165191711349,False,False
trust-krylov,0.10600042343139648,123.25097265628389,80.3516427496631,3.6710751720039725,698.1165191711349,6585.97858925494,698.1165191711349,False,False
dogleg,1.050361156463623,118.78643070691845,77.21514930979356,701.7875943431388,0.0,0.0,0.0,False,False
trust-exact,10.604525327682495,122.91642911280083,80.41746922934006,4.313716676762416,697.4738776663764,65.77134347028824,697.4738776663764,False,False
cg_min,0.6840853691101074,127.35076001748145,78.09616328059832,0.017779198275440607,701.7698151448634,1025.8512268107133,701.7698151448634,False,False
l-bfgs-b,0.6180124282836914,137.35902562237712,77.98231961887221,0.018333399921721012,701.7692609432171,1135.5261299390538,701.7692609432171,False,False
tnc,0.3709099292755127,419.05516160307485,81.66869297656947,2.3946415140589416e-06,701.7875919484973,1892.0701134080666,701.7875919484973,False,False
bfgs,0.2729980945587158,119.58132039813592,77.1146197057735,98.88241655024662,602.9051777928922,2208.459288946505,602.9051777928922,False,False
newton-cg,0.06856822967529297,121.41395627050353,79.7068549921268,6.208877006681288,695.5787173364575,10144.329533231245,695.5787173364575,False,False
bicg,0.3399388790130615,127.6116126824326,78.25853175636715,66.43311934060053,635.3544750025383,1869.025622627078,635.3544750025383,False,False
bicgstab,0.37529587745666504,128.07053061818996,78.29392311787743,65.2126718302492,636.5749225128897,1696.1948178777802,636.5749225128897,False,False
gmres,3.515873432159424,139.58784999938644,78.00547034919173,199.51358121916124,502.2740131239776,142.85895747262,502.2740131239776,False,False
lgmres,1.2707583904266357,146.5455287555913,76.98793110260327,467.39395483004677,234.39363951309207,184.45177405785088,234.39363951309207,False,False
qmr,0.3407721519470215,125.48005683402056,78.38215717317482,57.407553725135685,644.3800406180031,1890.9410200813074,644.3800406180031,False,False
minres,0.14272856712341309,124.29493117667201,78.49017218191685,54.94892737283653,646.8386669703023,4531.949559971414,646.8386669703023,False,False
gcrotmk,1.2319397926330566,146.43879485589974,77.01026856115143,462.7694204314378,239.018173911701,194.0177396176491,239.018173911701,False,False
lm,39.238359451293945,454.5051549747894,82.14226754502215,3.8275739436498285e-23,701.7875943431388,17.885243016193336,701.7875943431388,False,False
hybr,11.987431764602661,249.4050595177364,83.36206465309064,0.7594758568508105,701.028118486288,58.48025934598715,701.028118486288,False,False
krylov,0.24522614479064941,118.78643070691845,77.21514930979356,91.07939475960276,610.708199583536,2490.387801451188,610.708199583536,False,False
cg,3.913296699523926,132.97843663884996,76.76351810624372,518.90352089199,182.88407345114888,46.7340167366808,182.88407345114888,False,False
cgs,1.3677330017089844,145.94129131185545,77.06951674756512,411.25244948106587,290.53514486207297,212.4209509451398,290.53514486207297,False,False
trust-constr_cs,0.08812642097473145,119.89767314211159,82.27981423752271,20.774643882254228,681.0129504608846,7727.68192476751,681.0129504608846,False,False
trust-constr_2-point,0.17512989044189453,119.43858378921755,81.29143393210035,39.487386692702465,662.3002076504364,3781.7656710644587,662.3002076504364,False,False
trust-constr_3-point,0.3000190258026123,119.43858371983745,81.29143375696944,39.48738892759299,662.3002054155459,2207.5273514529863,662.3002054155459,False,False
trust-ncg_cs,0.14300155639648438,121.00482631879585,81.38570123758362,8.111355301543435,693.6762390415954,4850.829994593325,693.6762390415954,False,False
trust-ncg_2-point,0.23500609397888184,122.2579993049361,80.34320950305994,4.647201751284675,697.1403925918542,2966.47793590621,697.1403925918542,False,False
trust-ncg_3-point,0.37502121925354004,122.25799920152308,80.34320950973905,4.647201954171059,697.1403923889678,1858.935859087091,697.1403923889678,False,False
trust-krylov_cs,0.19656634330749512,121.00482631879585,81.38570123758362,8.111355301543433,693.6762390415954,3528.9675097453237,693.6762390415954,False,False
trust-krylov_2-point,0.3225727081298828,122.05311468833283,79.56394405843253,4.198530996670261,697.5890633464686,2162.5793061996637,697.5890633464686,False,False
trust-krylov_3-point,0.5133898258209229,122.05311499494094,79.56394273514384,4.1985302719917215,697.5890640711472,1358.7901999337155,697.5890640711472,False,False
adj,0.159257173538208,118.78842337473303,77.21514937649987,129.4624142702488,572.32518007289,3593.7168000509646,5.7232518007289,True,False
lstsq,0.9235103130340576,118.79230460350875,77.21514930979345,479.59717082002885,222.19042352310998,240.59333218828488,222.19042352310998,True,False
solve,None,None,None,None,None,None,None,True,False
lsqr,0.917043924331665,147.99814640793414,78.85369668870317,5.622713970841788,696.164880372297,759.1401697357702,139.2329760744594,True,False
lsmr,0.9206135272979736,144.910394175155,76.53038078530312,3.640304718680249,698.1472896244586,758.3500230259926,139.6294579248917,True,False
trust-constr,0.12507414817810059,122.01632409655168,80.62596620951204,23.53571251825214,678.2518818248867,5422.79832966828,678.2518818248867,True,False
trust-ncg,0.08199906349182129,123.25097265628389,80.3516427496631,3.6710751720039725,698.1165191711349,8513.713321137699,698.1165191711349,True,False
trust-krylov,0.09699606895446777,123.25097265628389,80.3516427496631,3.6710751720039725,698.1165191711349,7197.3691995584595,698.1165191711349,True,False
dogleg,1.063793659210205,118.78643070691845,77.21514930979356,701.7875943431388,0.0,0.0,0.0,True,False
trust-exact,10.339308261871338,122.91642911280083,80.41746922934006,4.313716676762416,697.4738776663764,67.45846627268843,697.4738776663764,True,False
cg_min,0.6405029296875,127.35076001748145,78.09616328059832,0.017779198275440607,701.7698151448634,1095.654340702634,701.7698151448634,True,False
