method, time, dimensions, cost, cost reduction, cost reduction per second, cost reduction per step
adj, 2.159541606903076,  (78.76671477295066, 37.37427702292481), 0.6347487177620454, 2207.113154350713, 1022.0285394342819, 2.207113154350713
adj_prec, 2.403132200241089,  (78.76506085212681, 37.220691511502224), 0.008078600520324148, 2207.739824467955, 918.6926230052879, 2.207739824467955
lsqr, 2.2599196434020996,  (78.77424678453806, 37.232238928040005), 0.00021248282494008516, 2207.7476905856506, 976.9142442879478, 220.77476905856506
lsmr, 1.4417943954467773,  (78.7735512238155, 37.237727471137944), 0.003475807823613866, 2207.7444272606517, 1531.2477522681206, 220.77444272606516
bicg, 0.6032586097717285,  (78.76740525702598, 37.34744948474136), 0.3773611672167008, 2207.3705419012585, 3659.0783888464052, 220.73705419012586
bicgstab, 0.6116664409637451,  (78.76918200192685, 37.28634054392631), 0.0877083505676921, 2207.660194717908, 3609.255056137306, 220.7660194717908
gmres, 4.066125869750977,  (78.7746965282859, 37.234909115764495), 0.0015251191852365129, 2207.74637794929, 542.9606580488124, 220.774637794929
lgmres, 2.6618380546569824,  (78.77774628387697, 37.23250424892312), 0.0007403484659989732, 2207.7471627200093, 829.4070177776125, 220.77471627200094
cg, 0.31528520584106445,  (78.76740525702598, 37.34744948474136), 0.3773611672167008, 2207.3705419012585, 7001.186547947308, 220.73705419012586
cgs, 0.17699813842773438,  (78.76628710258889, 37.3958438329021), 1.1651434781390062, 2206.5827595903365, 12466.700379966145, 220.65827595903366
qmr, 0.5888526439666748,  (78.76732122182642, 37.34588434191038), 0.38487169486461564, 2207.3630313736107, 3748.5830351447535, 220.73630313736106
minres, 0.33329057693481445,  (78.76732122182642, 37.345884341910384), 0.38487169486462036, 2207.3630313736107, 6622.938613128959, 220.73630313736106
gcrotmk, 2.8797693252563477,  (78.77775951982686, 37.23270140756442), 0.0006206266514501606, 2207.7472824418237, 766.6403218755368, 220.77472824418237
trust-constr, 0.9983673095703125,  (78.77499678563146, 37.237287929482264), 0.006745745677167881, 2207.7411573227982, 2211.35160993301, 220.77411573227982
dogleg, 18.533183813095093,  (78.76528623233231, 37.22068617908882), 2207.7479030684754, 0.0, 0.0, 0.0
trust-ncg, 0.5463123321533203,  (78.77058584397481, 37.26260211091978), 0.04807713487790727, 2207.6998259335974, 4041.094619321197, 220.76998259335974
trust-exact, 67.5323691368103,  (78.67486551099184, 37.22132282387211), 0.0002158469464621239, 2207.747687221529, 32.691696077609365, 220.77476872215288
trust-krylov, 0.559934139251709,  (78.77058584397481, 37.26260211091978), 0.04807713487790727, 2207.6998259335974, 3942.784822664944, 220.76998259335974
cg_min, 0.2885768413543701,  (78.7664244609136, 37.38077398906541), 0.8502016885981165, 2206.897701379877, 7647.52185595456, 220.68977013798772
bfgs, 27.747432947158813,  (78.77138325726814, 38.180726278356595), 1.0260151574498213, 2206.7218879110255, 79.52886640408953, 220.67218879110254
newton-cg, 0.7951974868774414,  (78.76996848610845, 37.237299230383194), 0.02071623172204605, 2207.7271868367534, 2776.325659058598, 220.77271868367535
l-bfgs-b, 0.24812841415405273,  (78.765359037152, 37.378810149721396), 28.279417020348816, 2179.4684860481266, 8783.631223689617, 217.94684860481266
tnc, 0.08500003814697266,  (121.65704150779563, 119.51034613583289), 20.942732064703762, 2186.8051710037716, 25727.10811285273, 218.68051710037716
hybr, 6.453926086425781,  (11483.53064525562, 3402.2182301002376), 0.06331638628757494, 2207.6845866821877, 342.0684645467973, 2207.6845866821877
lm, 3.696627140045166,  (78.76528623233231, 37.22068617908882), 2207.7479030684754, 0.0, 0.0, 0.0
krylov, 1.725590467453003,  (78.76528623233231, 37.22068617908882), 0.15262062247300318, 2207.5952824460023, 1279.327467370891, 2207.5952824460023
